row_id,boardgame,min_players,max_players,min_playtime,max_playtime,minimum_age,avg_rating,num_ratings,complexity,wishlisted,total_plays,amazon_price,categories,url,description
1,Brass: Birmingham,2,4,60,120,14,8.575,53548,3.87,20334,152594,69.95,Age of Reason; Economic; Industry / Manufacturing; Post-Napoleonic; Trains; Transportation,https://boardgamegeek.com/boardgame/224517/brass-birmingham,"Build networks, grow industries, and navigate the world of the Industrial Revolution."
2,Pandemic Legacy: Season 1,2,4,60,60,13,8.512,56071,2.83,14478,301410,76.97,Environmental; Medical,https://boardgamegeek.com/boardgame/161936/pandemic-legacy-season-1,Mutating diseases are spreading around the world - can your team save humanity?
3,Ark Nova,1,4,90,150,14,8.539,54528,3.79,16121,528979,71.81,Animals; Card Game; Economic; Environmental,https://boardgamegeek.com/boardgame/342942/ark-nova,"Plan and build a modern, scientifically managed zoo to support conservation projects."
4,Gloomhaven,1,4,60,120,14,8.557,65443,3.92,21597,542336,,Adventure; Exploration; Fantasy; Fighting; Miniatures,https://boardgamegeek.com/boardgame/174430/gloomhaven,Vanquish monsters with strategic cardplay. Fulfill your quest to leave your legacy!
5,Twilight Imperium: Fourth Edition,3,6,240,480,14,8.572,26686,4.34,12449,49484,172.29,Civilization; Economic; Exploration; Negotiation; Political; Science Fiction; Space Exploration; Territory Building; Wargame,https://boardgamegeek.com/boardgame/233078/twilight-imperium-fourth-edition,"Build an intergalactic empire through trade, research, conquest and grand politics."
6,Dune: Imperium,1,4,60,120,14,8.418,53995,3.07,14792,210763,51.98,Movies / TV / Radio theme; Novel-based; Political; Science Fiction,https://boardgamegeek.com/boardgame/316554/dune-imperium,"Influence, intrigue, and combat in the universe of Dune."
7,Terraforming Mars,1,5,120,120,12,8.347,107994,3.27,25730,740148,79.99,Civilization; Economic; Environmental; Industry / Manufacturing; Science Fiction; Space Exploration; Territory Building,https://boardgamegeek.com/boardgame/167791/terraforming-mars,Compete with rival CEOs to make Mars habitable and build your corporate empire.
8,War of the Ring: Second Edition,2,4,150,240,13,8.548,23752,4.22,12412,42493,94.71,Fantasy; Fighting; Novel-based; Territory Building; Wargame,https://boardgamegeek.com/boardgame/115746/war-of-the-ring-second-edition,The Fellowship and the Free Peoples clash with Sauron over the fate of Middle-earth.
9,Star Wars: Rebellion,2,4,180,240,14,8.418,34995,3.75,14452,55353,109.99,Civil War; Movies / TV / Radio theme; Science Fiction; Space Exploration; Wargame,https://boardgamegeek.com/boardgame/187645/star-wars-rebellion,Strike from your hidden base as the Rebels—or find and destroy it as the Empire.
10,Dune: Imperium – Uprising,1,6,60,120,13,8.707,13487,3.51,6566,39729,56.4,Movies / TV / Radio theme; Novel-based; Science Fiction,https://boardgamegeek.com/boardgame/397598/dune-imperium-uprising,"Deploy agents, build your deck, and engage in strategic battles to control Arrakis."
