category_id;name
1;Age of Reason
2;Environmental
3;Animals
4;Adventure
5;Civilization
6;Movies / TV / Radio theme
7;Fantasy
8;Civil War
9;Modern Warfare
10;Card Game
11;American West
12;Economic
13;Ancient
14;Aviation / Flight
15;Medieval
16;Science Fiction
17;Racing
18;Action / Dexterity
19;City Building
20;Medical
21;Post-Napoleonic
22;Abstract Strategy
23;Trains
24;Bluffing
25;Dice
26;Arabian
27;Exploration
28;Deduction
29;Renaissance
30;Industry / Manufacturing
31;Wargame
32;Miniatures
33;Horror
34;Fighting
35;Party Game
36;Real-time
37;Comic Book / Strip
38;Political
39;Humor
40;Electronic
41;Pike and Shot
42;Collectible Components
43;Game System
44;Transportation
45;Negotiation
46;Napoleonic
47;Spies / Secret Agents
48;Children's Game
49;Nautical
50;Music
51;American Civil War
52;Maze
53;Murder / Mystery
54;Prehistoric
55;Educational
56;Travel
57;Print & Play
58;Mythology
59;Territory Building
60;Puzzle
61;Farming
62;Number
63;Video Game Theme
64;Unknown
65;American Indian Wars
66;Mafia
67;Sports
68;Novel-based
69;Korean War
70; Economic
71; Medical
72; Card Game
73; Exploration
74; Novel-based
75; Fighting
76; Movies / TV / Radio theme
77; Fantasy
78; Political
79; Civilization
80; Dice
81; Animals
82; Educational
83; Horror
84; Religious
85; Space Exploration
86; Environmental
87; Farming
88; Sports
89; Collectible Components
90;
91; Industry / Manufacturing
92; City Building
93; Spies / Secret Agents
94; Science Fiction
95; Medieval
96; Deduction
97; Renaissance
98; Travel
99; Puzzle
100; Party Game
101; Mythology
102; Ancient
103; Nautical
104; Post-Napoleonic
105; Negotiation
106; Trains
107; Territory Building
108; World War II
109; Murder / Mystery
110; Bluffing
111; Number
112; Wargame
113; Pike and Shot
114; Transportation
115; Electronic
116; World War I
117; Real-time
118; Arabian
119; Comic Book / Strip
120; American West
121; Word Game
122; Humor
123; Prehistoric
124; Math
125; Racing
126; Print & Play
127; Maze
128; Miniatures
129; Mafia
130; American Revolutionary War
131; Pirates
132; Children's Game
133; Modern Warfare
134; American Indian Wars
135; Music
136; Expansion for Base-game
137; Aviation / Flight
138; Civil War
139; Memory
140; Adventure
141; Trivia
142; Video Game Theme
143; Zombies
144; Napoleonic
145; Game System
146; Book
147; Mature / Adult
148; Fan Expansion
149; Vietnam War
150; Third-party Expansion
