game_id;boardgame;avg_rating;num_ratings;complexity;wishlisted;total_plays;amazon_price;url;description;player_id;playtime_id
1;Brass: Birmingham;8.575;53548;3.87;20334;152594;69.95;https://boardgamegeek.com/boardgame/224517/brass-birmingham;Build networks, grow industries, and navigate the world of the Industrial Revolution.;1;1
2;Pandemic Legacy: Season 1;8.512;56071;2.83;14478;301410;76.97;https://boardgamegeek.com/boardgame/161936/pandemic-legacy-season-1;Mutating diseases are spreading around the world - can your team save humanity?;2;2
3;Ark Nova;8.539;54528;3.79;16121;528979;71.81;https://boardgamegeek.com/boardgame/342942/ark-nova;Plan and build a modern, scientifically managed zoo to support conservation projects.;3;3
4;Gloomhaven;8.557;65443;3.92;21597;542336;NULL;https://boardgamegeek.com/boardgame/174430/gloomhaven;Vanquish monsters with strategic cardplay. Fulfill your quest to leave your legacy!;3;1
5;Twilight Imperium: Fourth Edition;8.572;26686;4.34;12449;49484;172.29;https://boardgamegeek.com/boardgame/233078/twilight-imperium-fourth-edition;Build an intergalactic empire through trade, research, conquest and grand politics.;4;4
6;Dune: Imperium;8.418;53995;3.07;14792;210763;51.98;https://boardgamegeek.com/boardgame/316554/dune-imperium;Influence, intrigue, and combat in the universe of Dune.;3;1
7;Terraforming Mars;8.347;107994;3.27;25730;740148;79.99;https://boardgamegeek.com/boardgame/167791/terraforming-mars;Compete with rival CEOs to make Mars habitable and build your corporate empire.;5;5
8;War of the Ring: Second Edition;8.548;23752;4.22;12412;42493;94.71;https://boardgamegeek.com/boardgame/115746/war-of-the-ring-second-edition;The Fellowship and the Free Peoples clash with Sauron over the fate of Middle-earth.;2;6
9;Star Wars: Rebellion;8.418;34995;3.75;14452;55353;109.99;https://boardgamegeek.com/boardgame/187645/star-wars-rebellion;Strike from your hidden base as the Rebels—or find and destroy it as the Empire.;1;7
10;Dune: Imperium – Uprising;8.707;13487;3.51;6566;39729;56.4;https://boardgamegeek.com/boardgame/397598/dune-imperium-uprising;Deploy agents, build your deck, and engage in strategic battles to control Arrakis.;6;1
11;Spirit Island;8.339;58873;4.08;23844;390307;64.99;https://boardgamegeek.com/boardgame/162886/spirit-island;Island Spirits join forces using elemental powers to defend their home from invaders.;7;8
12;Gloomhaven: Jaws of the Lion;8.382;38651;3.64;8865;194704;64.95;https://boardgamegeek.com/boardgame/291457/gloomhaven-jaws-of-the-lion;Vanquish monsters with strategic cardplay in a 25-scenario Gloomhaven campaign.;3;9
13;Gaia Project;8.359;29894;4.4;12470;125607;NULL;https://boardgamegeek.com/boardgame/220308/gaia-project;Expand, research, upgrade, and settle the galaxy with one of 14 alien species.;8;10
14;Twilight Struggle;8.235;50906;3.61;12794;133314;64.5;https://boardgamegeek.com/boardgame/12333/twilight-struggle;Relive the Cold War and rewrite history in an epic clash between the USA and USSR.;9;11
15;Through the Ages: A New Story of Civilization;8.261;33740;4.44;9899;144956;79.99;https://boardgamegeek.com/boardgame/182028/through-the-ages-a-new-story-of-civilization;Forge your own path through history as you draft a civilization for the ages.;1;5
16;The Castles of Burgundy;8.152;66796;2.97;13425;410557;399.99;https://boardgamegeek.com/boardgame/84876/the-castles-of-burgundy;Plan, trade, and build your Burgundian estate to prosperity and prominence.;10;12
17;Great Western Trail;8.163;42836;3.7;9971;153049;42.74;https://boardgamegeek.com/boardgame/193738/great-western-trail;Use strategic outposts and navigate danger as you herd your cattle to Kansas City.;10;13
18;Eclipse: Second Dawn for the Galaxy;8.409;16024;3.65;8588;32784;225.0;https://boardgamegeek.com/boardgame/246900/eclipse-second-dawn-for-the-galaxy;Build an interstellar civilization by exploration, research, conquest, and diplomacy.;11;14
19;Scythe;8.115;89793;3.45;25439;328201;84.0;https://boardgamegeek.com/boardgame/169786/scythe;Five factions vie for dominance in a war-torn, mech-filled, dieselpunk 1920s Europe.;12;15
20;Brass: Lancashire;8.198;26390;3.85;6241;80344;69.6;https://boardgamegeek.com/boardgame/28720/brass-lancashire;Test your economic mettle as you build and network in the Industrial Revolution.;1;1
21;7 Wonders Duel;8.084;103726;2.23;11713;604553;NULL;https://boardgamegeek.com/boardgame/173346/7-wonders-duel;Science? Military? What will you draft to win this head-to-head version of 7 Wonders?;13;16
22;Frosthaven;8.773;9036;4.41;6188;102087;198.95;https://boardgamegeek.com/boardgame/295770/frosthaven;Adventure in the frozen north and build up your outpost throughout an epic campaign.;3;17
