player_id;min_players;max_players;minimum_age
1;2;4;14
2;2;4;13
3;1;4;14
4;3;6;14
5;1;5;12
6;1;6;13
7;1;4;13
8;1;4;12
9;2;2;13
10;2;4;12
11;2;6;14
12;1;5;14
13;2;2;10
14;2;5;13
15;1;2;14
16;2;5;12
17;1;5;10
18;2;5;10
19;1;4;10
20;1;6;10
21;2;4;8
22;2;5;14
23;1;5;13
24;3;5;12
25;1;7;12
26;1;4;15
27;2;6;12
28;2;4;10
29;2;2;14
30;1;4;17
31;6;21;15
32;1;2;13
33;1;2;10
34;2;5;9
35;1;1;14
36;2;7;10
37;3;8;12
38;2;6;13
39;1;8;14
40;2;2;8
41;3;5;14
42;2;5;8
43;3;7;8
44;2;8;10
45;1;6;12
46;2;2;12
47;1;2;12
48;1;100;10
49;1;4;8
50;1;8;13
51;2;4;9
52;1;5;17
53;1;6;18
54;3;4;13
55;3;7;10
56;2;8;8
57;3;5;10
58;5;10;13
59;2;6;10
60;2;3;8
61;2;5;7
62;2;8;14
63;4;4;10
64;2;2;9
65;1;1;12
66;3;8;8
67;2;2;11
68;4;12;14
69;1;6;14
70;3;6;10
71;2;7;14
72;4;16;17
73;1;5;16
74;3;7;14
75;2;6;8
76;3;12;8
77;4;8;12
78;1;6;8
79;1;3;14
80;1;8;12
81;4;9;14
82;1;4;16
83;2;3;14
84;2;4;11
85;2;9;10
86;1;5;8
87;2;2;6
88;5;11;12
89;3;4;17
90;2;7;12
91;2;12;14
92;1;8;10
93;2;8;6
94;1;4;7
95;1;4;9
96;1;4;4
97;2;4;7
98;3;6;6
99;1;1;13
100;2;10;16
101;3;5;8
102;3;4;10
103;3;5;13
104;2;8;12
105;1;7;10
106;1;1;10
107;3;10;8
108;4;18;12
109;2;10;8
110;3;3;14
111;2;3;12
112;2;7;13
113;3;18;8
114;4;12;12
115;5;10;8
116;3;6;12
117;2;3;10
118;1;8;8
119;2;7;8
120;3;6;8
121;1;9;12
122;4;8;8
123;1;5;15
124;1;7;14
125;2;4;5
126;1;99;10
127;1;6;7
128;4;10;14
129;3;4;8
130;4;10;8
131;3;4;12
132;2;5;5
133;2;2;4
134;4;8;10
135;2;10;10
136;2;4;6
137;3;8;13
138;3;6;9
139;2;5;15
140;1;1;8
141;4;4;12
142;4;12;10
143;2;10;7
144;6;30;8
145;3;4;14
146;4;8;9
147;2;20;8
148;4;8;13
149;1;12;14
150;2;4;4
151;3;8;10
152;2;8;7
153;2;8;13
154;4;4;13
155;1;6;11
156;2;10;12
157;2;2;5
158;1;10;13
159;3;5;9
160;1;8;7
161;1;3;12
162;3;6;13
163;8;18;10
164;4;4;16
165;1;6;16
166;2;5;11
167;3;5;16
168;4;6;14
169;5;68;8
170;3;7;12
171;1;3;10
172;3;99;4
173;4;6;10
174;5;18;12
175;2;2;17
176;2;13;10
177;1;4;6
178;3;8;6
179;1;2;8
180;3;7;16
181;2;9;12
182;4;7;8
183;1;100;8
184;1;16;12
185;1;10;12
186;2;6;6
187;2;5;6
188;2;9;6
189;2;7;16
190;1;20;6
191;1;2;4
192;3;12;10
193;2;8;11
194;2;3;4
195;3;12;13
196;1;6;4
197;1;2;16
