playtime_id;min_playtime;max_playtime
1;60;120
2;60;60
3;90;150
4;240;480
5;120;120
6;150;240
7;180;240
8;90;120
9;30;120
10;60;150
11;120;180
12;30;90
13;75;150
14;60;200
15;90;115
16;30;30
17;90;180
18;100;100
19;60;90
20;30;45
21;20;20
22;40;70
23;90;90
24;30;150
25;40;160
26;60;240
27;40;80
28;45;90
29;30;60
30;60;180
31;120;240
32;80;150
33;45;120
34;45;60
35;30;210
36;40;200
37;45;45
38;20;90
39;80;80
40;20;60
41;90;240
42;60;75
43;40;100
44;15;45
45;60;80
46;45;125
47;15;30
48;45;180
49;5;1000
50;15;15
51;45;75
52;40;60
53;45;150
54;20;40
55;25;25
56;25;30
57;180;180
58;30;180
59;100;120
60;80;160
61;480;480
62;10;10
63;30;50
64;75;100
65;50;140
66;180;360
67;60;100
68;20;45
69;40;40
70;15;25
71;15;20
72;20;80
73;20;100
74;10;25
75;120;150
76;70;100
77;40;50
78;210;210
79;42;42
80;20;30
81;150;150
82;0;0
83;240;240
84;50;125
85;50;70
86;360;360
87;80;120
88;25;35
89;50;100
90;120;480
91;10;30
92;20;50
93;75;75
94;30;40
95;30;75
96;30;240
97;35;40
98;10;20
99;60;135
100;240;360
101;30;360
102;80;180
103;60;300
104;300;300
105;75;120
106;10;60
107;60;140
108;20;120
109;5;15
110;50;150
111;5;30
112;5;20
113;40;110
114;60;600
115;360;480
116;45;200
117;5;10
118;420;420
119;25;45
120;50;60
121;110;140
122;10;15
123;180;300
124;75;90
125;35;45
126;7;20
127;135;270
128;45;80
129;15;40
130;40;90
131;15;60
132;135;165
133;8;20
134;120;300
135;60;999
136;50;50
137;90;300
138;60;480
139;40;75
140;35;35
141;25;100
142;360;720
143;150;180
144;2;2
145;360;540
146;45;70
147;120;900
148;1;15
149;60;360
150;300;720
151;30;70
152;240;900
153;120;1200
