avg_rating,num_ratings
8.575,53548
8.512,56071
8.539,54528
8.557,65443
8.572,26686
8.418,53995
8.347,107994
8.548,23752
8.418,34995
8.707,13487
8.339,58873
8.382,38651
8.359,29894
8.235,50906
8.261,33740
8.152,66796
8.163,42836
8.409,16024
8.115,89793
8.198,26390
8.084,103726
8.773,9036
8.254,34821
8.511,10679
8.166,31679
8.084,43420
8.284,16100
8.071,51953
8.126,46246
8.07,59387
8.375,12887
8.316,15886
8.039,49937
8.154,23570
8.014,105678
8.048,34120
8.69,8131
8.395,11877
8.08,34503
8.145,20213
8.081,22685
7.997,63498
7.969,52887
8.418,10200
8.014,34442
8.113,26377
8.055,20033
8.39,9280
8.042,22035
8.045,21742
8.141,16378
7.903,73039
8.189,15461
7.913,49310
8.17,14075
8.355,8931
7.931,36490
8.053,20568
8.519,7097
7.908,50172
7.864,75296
8.822,6184
8.174,12245
8.13,14625
8.091,16030
7.958,23513
8.019,17815
8.25,10545
7.925,38945
7.85,41310
7.801,68031
8.026,19928
7.808,55795
8.669,5283
7.935,21632
7.964,19579
8.012,15837
7.838,33111
7.969,17965
7.958,25476
7.89,30934
7.994,17762
7.955,20081
7.96,18015
7.771,46164
8.479,10138
8.371,8921
7.739,57711
8.501,5701
7.726,101682
8.098,10959
7.767,43952
8.116,10467
7.768,45619
8.031,11925
8.236,8661
7.822,28843
7.876,22879
7.765,31599
7.731,58007
7.813,23798
7.845,21364
8.264,7022
8.242,9298
7.878,16615
8.532,5654
7.824,19728
7.804,22033
7.669,109771
7.913,14531
7.731,45682
7.769,25819
8.066,12182
7.892,16392
7.767,25669
7.97,12040
7.82,22097
7.729,37256
7.982,11008
8.125,8757
7.707,30116
7.715,31434
8.046,13542
7.674,29298
7.715,24047
8.282,7409
7.701,29482
7.725,25718
7.689,34342
7.708,29656
7.834,14810
7.744,38144
7.708,24496
7.989,11976
7.84,13678
7.898,17742
7.862,12184
8.054,9289
7.585,71267
7.598,94566
7.749,18486
7.786,19460
8.239,6365
7.726,18594
8.612,4515
7.74,16689
8.07,7591
7.759,22605
8.438,6219
7.752,22939
7.798,13094
7.979,9746
7.878,11459
7.769,15557
7.599,32382
7.532,99421
8.126,7010
8.224,5956
7.71,18357
7.725,15382
7.903,9728
7.913,10213
7.636,29100
7.574,32983
7.522,131615
7.596,25595
7.59,41819
7.555,46891
8.668,3773
