min_players,max_players
2,4
2,4
1,4
1,4
3,6
1,4
1,5
2,4
2,4
1,6
1,4
1,4
1,4
2,2
2,4
2,4
2,4
2,6
1,5
2,4
2,2
1,4
1,5
2,4
1,4
2,5
1,4
1,4
1,2
2,4
2,2
1,4
2,5
2,2
1,5
2,5
1,4
1,4
1,4
1,4
2,5
1,4
1,6
2,4
1,6
1,4
2,4
1,4
2,5
1,4
1,5
3,5
1,5
1,4
1,4
2,4
1,7
1,4
1,5
2,4
1,5
1,4
1,4
1,4
1,4
2,4
2,4
2,4
1,5
2,4
2,6
1,4
2,4
2,5
1,4
1,4
1,4
1,5
1,4
2,5
2,2
1,4
1,4
2,4
2,5
1,4
6,21
2,4
1,4
2,4
1,4
2,4
1,4
2,4
1,2
1,2
2,6
1,4
2,5
2,5
2,5
1,4
2,6
1,1
2,4
1,4
2,4
2,6
2,7
1,4
1,4
2,4
2,4
2,2
3,8
2,4
2,4
3,6
1,4
1,5
2,4
1,5
1,4
2,5
2,6
1,5
2,4
2,4
2,6
2,5
2,4
1,8
1,4
1,5
2,4
1,5
1,6
2,5
2,2
2,4
2,4
3,6
1,4
2,4
1,4
2,5
1,4
3,5
1,4
1,4
2,4
2,4
2,5
2,4
3,7
2,8
1,4
1,4
2,4
2,4
1,6
2,4
1,5
2,5
2,4
2,2
2,6
2,2
1,2
2,5
1,100
2,4
2,4
2,5
1,6
2,2
2,2
1,5
1,4
1,2
2,4
2,4
2,4
1,4
1,4
2,5
2,5
1,8
2,4
2,5
2,4
3,5
1,5
1,4
2,4
2,2
1,4
2,2
2,2
1,100
1,5
1,4
1,6
1,4
2,6
1,6
3,4
2,4
1,4
3,7
2,8
1,4
1,5
1,4
3,5
2,2
3,5
2,5
1,4
2,2
1,6
2,4
5,10
2,2
3,6
2,6
2,4
2,4
1,5
2,3
1,4
1,4
2,5
2,8
2,4
2,4
2,2
1,4
2,4
1,4
2,5
2,5
4,4
2,4
2,5
2,2
2,2
2,2
2,5
2,4
1,1
2,5
2,2
1,4
2,4
5,10
1,5
3,8
2,4
2,5
2,4
2,2
1,4
2,6
2,2
1,4
2,5
1,5
2,2
2,6
4,12
1,4
2,4
1,6
2,8
2,4
2,6
2,4
2,5
2,5
2,5
1,4
1,5
1,4
2,4
3,6
1,5
1,5
2,4
2,4
2,4
2,4
1,4
2,4
2,7
1,4
4,16
2,5
1,4
3,5
2,8
2,4
1,5
1,4
1,4
2,6
1,4
2,2
1,5
1,4
1,5
1,5
2,4
1,4
2,4
2,2
1,5
1,4
1,6
1,4
3,5
3,6
2,6
2,2
1,4
2,5
3,7
2,6
2,6
2,4
1,5
2,4
2,4
3,12
1,4
4,8
2,2
1,6
2,2
1,6
1,8
2,4
2,5
1,4
1,5
2,2
3,6
2,5
2,6
1,4
2,5
1,4
1,4
2,6
2,5
2,4
2,4
2,4
1,5
2,5
2,4
2,6
2,4
1,4
2,4
1,4
1,4
2,5
3,5
1,4
1,4
1,4
3,5
2,4
1,4
2,4
2,6
1,5
2,5
2,4
1,3
1,5
1,8
2,5
2,4
1,5
2,5
2,4
4,9
1,4
2,4
2,4
1,4
1,6
1,5
2,5
1,4
1,4
1,5
2,4
1,4
2,4
2,4
2,4
2,2
2,5
2,4
2,4
2,4
2,4
2,4
3,8
2,6
1,4
2,2
1,5
2,6
1,4
2,2
2,4
2,3
2,4
2,2
2,2
2,4
2,4
1,4
2,4
2,7
2,4
1,4
1,5
1,4
2,4
5,10
2,2
2,9
2,2
2,5
1,4
1,4
1,100
2,4
1,5
2,5
1,4
2,5
1,4
1,4
2,2
1,4
2,2
1,5
2,4
1,4
1,1
2,4
2,4
1,4
2,2
1,8
1,4
2,6
3,6
1,2
2,2
1,4
2,4
2,4
1,4
5,11
2,5
2,4
2,5
2,4
2,6
3,5
3,4
2,8
3,5
2,4
2,2
1,6
2,5
1,4
2,6
2,4
2,4
1,4
1,1
2,4
1,5
2,7
2,6
1,6
2,5
2,2
1,5
1,4
2,4
3,5
1,6
1,4
2,12
2,6
1,4
1,6
1,4
1,4
2,4
2,2
2,4
2,6
2,2
1,8
2,4
1,5
2,4
2,8
2,2
2,5
2,2
2,5
1,4
2,4
1,4
2,4
1,4
2,2
3,5
2,4
2,2
1,3
1,5
1,4
2,5
2,7
2,6
2,4
3,7
2,5
2,6
2,2
1,5
2,8
1,4
1,4
1,4
1,4
2,4
2,4
2,5
2,2
2,5
2,4
2,5
2,4
3,6
2,2
2,4
1,4
2,4
1,4
2,8
2,6
2,4
1,1
3,7
1,4
1,5
1,4
2,4
2,4
1,4
3,5
2,5
1,4
1,4
2,10
2,6
2,4
2,2
3,5
2,5
2,4
2,5
1,4
3,5
1,4
2,5
2,4
3,5
2,4
2,5
3,4
2,6
2,4
2,2
2,4
3,5
3,6
1,6
1,6
3,6
2,5
1,4
2,5
2,2
1,4
1,4
1,4
1,5
1,2
2,2
1,4
2,5
1,4
2,4
1,4
2,2
1,4
2,5
3,5
2,4
1,4
2,4
2,8
1,4
2,4
2,2
2,8
1,4
2,6
2,8
2,6
2,5
2,4
1,5
2,5
2,6
2,5
1,5
2,4
2,4
2,4
1,4
2,4
2,5
1,4
2,4
2,2
1,7
1,1
2,6
3,10
2,2
2,4
2,2
2,5
2,5
2,5
2,5
1,4
2,5
2,4
2,6
2,6
2,4
2,5
2,4
2,5
2,6
2,4
1,4
4,18
2,10
2,4
1,5
1,4
2,4
2,4
1,6
3,3
2,6
1,4
3,5
2,4
1,6
2,4
2,3
2,4
2,4
1,4
1,6
2,4
2,4
2,6
2,5
1,4
2,4
2,6
1,5
1,4
2,5
1,4
2,5
1,4
1,5
1,5
2,7
2,4
3,18
3,5
2,4
2,2
1,6
1,4
2,4
3,5
2,6
3,5
2,4
1,5
2,4
1,6
3,5
1,5
2,5
1,6
4,12
2,2
1,4
1,4
5,10
1,4
2,5
2,4
2,10
2,6
2,4
3,6
2,2
2,4
1,4
2,6
2,7
2,4
2,4
4,18
1,4
1,5
1,4
2,4
2,4
2,6
3,5
2,4
2,3
1,4
2,2
1,8
2,4
1,8
2,2
2,2
2,4
2,4
1,8
1,4
2,4
1,8
2,4
2,2
1,4
2,5
2,2
2,4
2,4
3,10
2,4
1,6
1,3
2,4
1,6
4,9
2,3
1,6
1,4
2,6
1,4
2,4
2,4
2,5
1,5
2,7
1,4
1,4
2,4
1,4
1,5
2,4
1,4
2,4
2,5
2,2
1,5
2,4
2,5
2,5
1,2
2,5
1,1
2,4
2,4
2,5
1,5
2,2
1,1
